reference_time,cases,season,population,incidence,growth_rate,lower_growth_rate,upper_growth_rate,growth_warning,average_observations_window,average_observations_warning,seasonal_onset_alarm,skipped_window,converged,counter,changeFlag,groupID,significant_counter,disease_threshold,week,grupo,mode
2018-05-06,39527,2018/2019,186731,21167.883211678833,0.020023099554798997,0.0027893236881129588,0.037259316190928767,TRUE,20377.579859698162,NA,NA,FALSE,TRUE,80,FALSE,352,11,20377.579859698162,2018-W18,edad_15_64,incidence
2019-04-28,47235,2019/2020,202153,23365.96538265571,0.03974173970130618,0.021947578109269113,0.05754758876975302,TRUE,21237.101743574174,NA,NA,FALSE,TRUE,97,FALSE,386,7,21237.101743574174,2019-W17,edad_15_64,incidence
2020-02-16,22788,2020/2021,195864,11634.603602499694,0.02979236659873364,0.01641672328648209,0.04317256738471727,TRUE,11034.814930054901,NA,NA,FALSE,TRUE,107,FALSE,418,6,11034.814930054901,2020-W07,edad_15_64,incidence
2021-05-16,12170,2021/2022,175975,6915.755078846427,0.04320774590773215,0.01979981408120233,0.06664148393065765,TRUE,6167.644573266142,NA,NA,FALSE,TRUE,124,FALSE,466,8,6167.644573266142,2021-W19,edad_15_64,incidence
2022-05-01,29265,2022/2023,192178,15228.069810280054,0.07514684309599486,0.04677771504718219,0.10357005383235908,TRUE,12728.662848311411,NA,NA,FALSE,TRUE,144,FALSE,496,9,12728.662848311411,2022-W17,edad_15_64,incidence
2023-04-23,50154,2023/2024,209240,23969.604282164022,0.03874830383581191,6.88991172859179e-4,0.07684585301684627,TRUE,21166.580613922008,NA,NA,FALSE,TRUE,164,FALSE,527,6,21166.580613922008,2023-W16,edad_15_64,incidence
2024-02-18,32306,2024/2025,214271,15077.16863224608,0.029493575459642284,0.016781686359461905,0.04221069315223022,TRUE,14298.628261444866,NA,NA,FALSE,TRUE,176,FALSE,558,6,14298.628261444866,2024-W07,edad_15_64,incidence
2010-08-22,10095,2010/2011,30747,32832.47146063031,0.1129725387640351,0.021305553687299993,0.20586507927444925,TRUE,26205.544281988357,NA,NA,FALSE,TRUE,1,FALSE,29,1,26205.544281988357,2010-W33,edad_65_mas,incidence
2011-05-08,5932,2011/2012,29707,19968.357626148718,0.02410341692410744,0.002962327620085383,0.045267062180456424,TRUE,18494.87540288477,NA,NA,FALSE,TRUE,2,FALSE,65,3,18494.87540288477,2011-W18,edad_65_mas,incidence
2012-02-26,3778,2012/2013,29682,12728.252813152752,0.016459902636421258,0.007748801670143787,0.025171450493977666,TRUE,12274.353775219119,NA,NA,FALSE,TRUE,5,FALSE,104,21,12274.353775219119,2012-W08,edad_65_mas,incidence
2013-05-19,7895,2013/2014,33595,23500.520910849827,0.07265924085982206,0.007834639302738226,0.13773035929191457,TRUE,20050.00038423969,NA,NA,FALSE,TRUE,26,FALSE,147,1,20050.00038423969,2013-W20,edad_65_mas,incidence
2013-06-23,8163,2013/2014,30864,26448.28926905132,0.06988556668736327,0.022832474356736628,0.1170418028491412,TRUE,23053.245978766703,NA,NA,FALSE,TRUE,27,FALSE,151,1,23053.245978766703,2013-W25,edad_65_mas,incidence
2013-08-25,8749,2013/2014,34547,25324.919674646135,0.06257250833743751,0.030015950418759773,0.09518929804034167,TRUE,23160.423305116703,NA,NA,FALSE,TRUE,28,FALSE,159,1,23160.423305116703,2013-W34,edad_65_mas,incidence
2014-06-22,10131,2014/2015,33325,30400.60015003751,0.10816855563552108,0.045823599920998506,0.1708807727405244,TRUE,23783.86183151697,NA,NA,FALSE,TRUE,29,FALSE,201,1,23783.86183151697,2014-W25,edad_65_mas,incidence
2015-02-22,4894,2015/2016,36259,13497.338591797898,0.047432097796002506,0.030962707161257427,0.06391387672289081,TRUE,12279.855632305702,NA,NA,FALSE,TRUE,30,FALSE,235,6,12279.855632305702,2015-W08,edad_65_mas,incidence
2015-06-14,7712,2015/2016,34196,22552.345303544276,0.01596972398323011,6.45440511899413e-4,0.03129690542227134,TRUE,21523.09541246645,NA,NA,FALSE,TRUE,41,FALSE,240,6,21523.09541246645,2015-W24,edad_65_mas,incidence
2016-05-01,6640,2016/2017,35008,18967.09323583181,0.01286228611463829,0.0030943838692540984,0.02263113607687713,TRUE,18261.83790140743,NA,NA,FALSE,TRUE,57,FALSE,270,13,18261.83790140743,2016-W17,edad_65_mas,incidence
2017-05-07,7006,2017/2018,36280,19310.915104740903,0.01368536532131166,0.002479137744812066,0.024890751669727304,TRUE,18772.772266816097,NA,NA,FALSE,TRUE,76,FALSE,304,7,18772.772266816097,2017-W18,edad_65_mas,incidence
2018-05-13,7043,2018/2019,36940,19066.05305901462,0.025663959803018957,0.008769972984141292,0.04256192834041184,TRUE,18068.45914173835,NA,NA,FALSE,TRUE,88,FALSE,345,11,18068.45914173835,2018-W19,edad_65_mas,incidence
2019-04-28,8361,2019/2020,43550,19198.622273249137,0.023363768748286565,0.004691026115129497,0.04204315885795279,TRUE,18127.72840977438,NA,NA,FALSE,TRUE,105,FALSE,378,8,18127.72840977438,2019-W17,edad_65_mas,incidence
2020-02-23,5381,2020/2021,45757,11759.949297375264,0.038928679442302196,0.01771803304672006,0.060155155424880716,TRUE,10536.811853871293,NA,NA,FALSE,TRUE,116,FALSE,410,5,10536.811853871293,2020-W08,edad_65_mas,incidence
2021-12-26,3777,2021/2022,45124,8370.268593209821,0.011336255092000614,0.001084167546701147,0.021589668900848454,TRUE,8062.218105291034,NA,NA,FALSE,TRUE,137,FALSE,485,7,8062.218105291034,2021-W51,edad_65_mas,incidence
2022-04-03,3469,2022/2023,40176,8634.508164078057,0.03795719533507609,0.021321351359984083,0.054598759124833834,TRUE,8195.384197265754,NA,NA,FALSE,TRUE,144,FALSE,492,14,8195.384197265754,2022-W13,edad_65_mas,incidence
2023-02-26,5473,2023/2024,51736,10578.707283129736,0.03338901251790018,0.013097818204443949,0.05369678551938423,TRUE,9734.387453738631,NA,NA,FALSE,TRUE,162,FALSE,521,6,9734.387453738631,2023-W08,edad_65_mas,incidence
2023-04-30,8938,2023/2024,46562,19195.910828572658,0.04782295473060775,0.01086695015505776,0.08481217239762735,TRUE,16484.603230873287,NA,NA,FALSE,TRUE,168,FALSE,524,6,16484.603230873287,2023-W17,edad_65_mas,incidence
2024-03-24,9188,2024/2025,54226,16943.901449489174,0.045873443373820495,0.02162527050194836,0.07013719759287408,TRUE,15146.907887598954,NA,NA,FALSE,TRUE,181,FALSE,558,9,15146.907887598954,2024-W12,edad_65_mas,incidence
